,Country,Literacy_Rate,Buddhists,Christians,Folk_Religions,Hindus,Jews,Muslims,Other_Religions,Unaffiliated,alcohol_rate_2000,alcohol_rate_2005,alcohol_rate_2010,alcohol_rate_2015,pg_2000,pg_2005,pg_2010,pg_2015,gdp_2000,gpd_2005,gpd_2010,gpd_2015,gdp_per_capita_2000,gdp_per_capita_2005,gdp_per_capita_2010,gdp_per_capita_2015,mortality_rate_2000,mortality_rate_2005,mortality_rate_2010,mortality_rate_2015,Longitude,Latitude,mortality_rate,mortality_state
0,Albania,96.8,1.0,18.0,1.0,1.0,1.0,80.3,1.0,1.4,6.57,7.65,7.69,6.74,-0.64,-0.51,-0.5,-0.29,3480355258.04,8052073539.38,11926922828.99,11386850129.84,1126.68,2673.79,4094.35,3952.8,106.1,105.7,103.5,92.24,19.9999619,41.000028,9.22,1
1,Algeria,72.6,1.0,1.0,1.0,1.0,1.0,97.9,1.0,1.8,0.58,0.81,0.65,0.93,1.36,1.39,1.81,2.05,54790392746.19,103198223709.44,161207270185.25,165979279263.17,1765.03,3113.09,4480.79,4177.89,141.9,119.3,104.4,96.49,2.9999825,28.0000272,9.65,1
2,Angola,70.4,1.0,90.5,4.2,1.0,1.0,1.0,1.0,5.1,2.76,4.89,8.16,7.96,3.28,3.54,3.67,3.44,9129594818.61,36970918699.25,81699556136.66,87219290028.73,556.84,1902.42,3497.97,3127.89,383.6,322.7,269.7,239.8,17.5691241,-11.8775768,23.98,3
3,Antigua and Barbuda,99.0,1.0,93.0,3.6,1.0,1.0,1.0,1.0,1.7,5.13,5.37,5.6,5.89,1.77,1.38,1.47,1.08,826370370.37,1022962962.96,1148700000.0,1336692592.59,10872.29,12557.55,13048.96,14285.33,156.7,156.1,134.6,121.9,-61.9554608,17.2234721,12.19,2
4,Argentina,97.9,1.0,85.2,1.0,1.0,1.0,1.0,1.0,12.2,8.75,8.66,9.09,9.55,1.1,1.04,0.75,1.08,284203750000.0,198737095012.28,423627422092.49,594749285413.21,7708.1,5109.85,10385.96,13789.06,138.5,124.9,118.7,112.7,-64.9672817,-34.9964963,11.27,2
5,Armenia,99.6,1.0,98.5,1.0,1.0,1.0,1.0,1.0,1.3,4.23,5.79,5.69,5.84,-0.63,-0.65,-0.37,0.45,1911563668.85,4900469950.09,9260284937.8,10553337672.99,622.74,1643.76,3218.38,3607.29,143.4,139.7,137.9,121.3,44.6736646,40.7696272,12.13,2
6,Australia,99.0,2.7,67.3,1.0,1.4,1.0,2.4,1.0,24.2,11.72,12.08,12.39,10.83,1.19,1.32,1.56,1.44,415576210513.09,695075176665.16,1147589183475.73,1350534154255.76,21697.71,34081.0,52087.97,56707.02,76.93,68.13,63.06,62.17,134.755,-24.7761086,6.22,1
7,Austria,98.0,1.0,80.4,1.0,1.0,1.0,5.4,1.0,13.5,13.12,12.79,12.2,12.07,0.24,0.68,0.24,1.12,197289625479.91,316092273276.02,392275107258.67,381971148530.54,24625.6,38417.46,46903.76,44195.82,93.72,83.7,74.43,64.34,14.12456,47.59397,6.43,1
8,Azerbaijan,99.8,1.0,3.0,1.0,1.0,1.0,96.9,1.0,1.0,3.45,1.81,2.97,4.58,0.82,1.02,1.19,1.19,5272798390.7,13245716099.01,52909294791.93,53074370486.04,655.12,1578.4,5843.53,5500.31,161.0,160.0,131.8,119.5,47.7872508,40.3936294,11.95,2
9,Bahrain,94.6,2.5,14.5,1.0,9.8,1.0,70.3,1.0,1.9,1.74,1.76,1.69,1.3,4.32,6.9,4.6,2.64,9062898936.17,15968723404.26,25713271276.6,31050638297.87,13636.42,17959.4,20722.07,22634.09,100.8,83.48,65.97,58.52,50.5344606,26.1551249,5.85,1
